Color	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;132;197;238	A5	PcYABMw4iIW4wS57qORr1Z	None	15.31	1.50E+07	Positive	Unchecked	Unknown	1.50E+07	29.19	0.17	1.42E+03	1.61E+02	A5	FAM	 	0.09	0.58	None			1
255;103;103;103	A6	nCmYQbLEikiQ73iDxmY33Y	None	18.66	1.60E+06	Positive	Unchecked	Unknown	1.60E+06	32.82	0.43	1.28E+02	3.65E+01	A6	FAM	 	0.09	0.57	None			2
255;242;138;21	A7	R9xM.9TriuaExOpndyGo2X	None	22.16	1.55E+05	Positive	Unchecked	Unknown	1.55E+05	35.86	0.69	1.74E+01	7.76E+00	A7	FAM	 	0.08	0.5	None			3
255;250;215;15	A8	J5gXlHcYh1WqFKXNp3,j0o	None	25.7	1.46E+04	Negative	Unchecked	Unknown	1.46E+04	-	-	-	-	A8	FAM	 	0	0	Standard is negative			4
255;103;154;47	A9	NTmiKt6kg3i0f4dB2VuZ3H	None	29.07	1.53E+03	Positive	Unchecked	Unknown	1.53E+03	38.29	1.19	3.77E+00	2.72E+00	A9	FAM	 	0.09	0.56	None			5
255;180;73;149	A10	ERMObpbGgJ,NIB4RV9Uk2v	None	32.51	1.54E+02	Negative	Unchecked	Unknown	1.54E+02	-	-	-	-	A10	FAM	 	0	0.01	None			6
255;95;103;174	A11	GVv2wR90hyyWrWmlYHZQ1C	None	36.35	1.19E+01			Unknown	1.19E+01													7
255;205;18;55	A12	qSuSKy5.guyeUO2Qgb5K1M	None	37.45	5.69E+00			Unknown	5.69E+00													8
255;34;176;146	B1	fg2aEmoaic,ykvyNBTcA3H	None	15.23	1.58E+07	Positive	Unchecked	Unknown	1.58E+07	15.27	0.06	1.54E+07	5.83E+05	A1	FAM	 	0.09	0.57	None			9
255;47;73;113	B2	EjGJbY7OisCA6mgJ8Tuv02	None	18.76	1.50E+06	Positive	Unchecked	Unknown	1.50E+06	18.71	0.07	1.55E+06	7.32E+04	A2	FAM	 	0.09	0.58	None			10
255;132;197;238	B3	zvkVnRFuhkWAa2QvLZXz2G	None	22.21	1.50E+05	Positive	Unchecked	Unknown	1.50E+05	22.19	0.04	1.52E+05	3.60E+03	A3	FAM	 	0.09	0.58	None			11
255;103;103;103	B4	ahMiyqLBiduSCJQ,Ehvf3Z	None	25.66	1.50E+04	Positive	Unchecked	Unknown	1.50E+04	25.68	0.03	1.48E+04	2.79E+02	A4	FAM	 	0.09	0.58	None			12
255;242;138;21	B5	U4zP.ntYjPOQ4BLo73jQ0B	None	29.31	1.31E+03	Positive	Unchecked	Unknown	1.31E+03	29.19	0.17	1.42E+03	1.61E+02	A5	FAM	 	0.09	0.58	None			13
255;250;215;15	B6	.sXZMhnmhG6pQ2DT,szM24	None	33.12	1.03E+02	Positive	Unchecked	Unknown	1.03E+02	32.82	0.43	1.28E+02	3.65E+01	A6	FAM	 	0.09	0.56	None			14
255;103;154;47	B7	5jgf,BCJikupRYPZPjhZ2b	None	35.37	2.28E+01	Positive	Unchecked	Unknown	2.28E+01	35.86	0.69	1.74E+01	7.76E+00	A7	FAM	 	0.09	0.55	None			15
255;180;73;149	B8	W,jAOvAGg7aScyq6H9jM2m	None	39.13	1.85E+00	Negative	Unchecked	Unknown	1.85E+00	-	-	-	-	A8	FAM	 	0	0.01	Standard is negative			16
255;95;103;174	B9	ZlRXVQiihbGVVOGc0loj1L	None	24.75	2.75E+04	Positive	Unchecked	Unknown	2.75E+04	38.29	1.19	3.77E+00	2.72E+00	A9	FAM	 	0.09	0.53	None			17
255;205;18;55	B10	9cnm2nmRgyi9bAwqTcKR0j	None	24.7	2.84E+04	Negative	Unchecked	Unknown	2.84E+04	-	-	-	-	A10	FAM	 	0	0	None			18
255;34;176;146	B11	UmLWM2r2gAuu8chpTLos3D	None	24.67	2.90E+04			Unknown	2.90E+04													19
255;47;73;113	B12	15I4KsOFiTakzH0pEer10y	None	35.85	3.01E+01			Unknown	3.01E+01													20
255;234;79;79	C1	S413KTjZgz6whm2qrMPb16	None	25.49	3.96E+04	Positive	Unchecked	Unknown	3.96E+04	24.69	0.09	2.87E+04	1.76E+03	C1	FAM	 	0.09	0.58	None			21
255;66;41;24	C2	9fDACvZmiiawEJ1jqIxG12	None	26.52	1.94E+04	Positive	Unchecked	Unknown	1.94E+04	24.67	0.04	2.90E+04	8.29E+02	C2	FAM	 	0.09	0.57	None			22
