id	Date	time	source	remark	Description
cy0216	2009-07-08		uw medical school	old id # cy216 (c33563); well/single	source: uw medical school, remark: old id # cy216 (c33563); well/single
cy0215	2009-07-08		uw medical school	old id # cy215 (28846); well/single	source: uw medical school, remark: old id # cy215 (28846); well/single
cy0217	2009-07-08		uw medical school	old id: cy215 (c34540); well/single	source: uw medical school, remark: old id: cy215 (c34540); well/single
cy0263	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt11	source: alpha genesis, inc., remark: old id# dt11
cy0259	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt1g	source: alpha genesis, inc., remark: old id# dt1g
cy0255	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# br7h	source: alpha genesis, inc., remark: old id# br7h
cy0270	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr8l	source: alpha genesis, inc., remark: old id# dr8l
cy0251	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr7n	source: alpha genesis, inc., remark: old id# dr7n
cy0266	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt1f	source: alpha genesis, inc., remark: old id# dt1f
cy0262	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr8e	source: alpha genesis, inc., remark: old id# dr8e
cy0258	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dv12	source: alpha genesis, inc., remark: old id# dv12
cy0254	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr86	source: alpha genesis, inc., remark: old id# dr86
cy0269	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr88	source: alpha genesis, inc., remark: old id# dr88
cy0250	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt1l	source: alpha genesis, inc., remark: old id# dt1l
cy0265	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr7w	source: alpha genesis, inc., remark: old id# dr7w
cy0261	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt1p	source: alpha genesis, inc., remark: old id# dt1p
cy0257	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr77	source: alpha genesis, inc., remark: old id# dr77
cy0272	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr7f	source: alpha genesis, inc., remark: old id# dr7f
cy0253	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# br87	source: alpha genesis, inc., remark: old id# br87
cy0268	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr9l	source: alpha genesis, inc., remark: old id# dr9l
cy0249	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt19	source: alpha genesis, inc., remark: old id# dt19
cy0264	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr7p	source: alpha genesis, inc., remark: old id# dr7p
cy0260	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr7x	source: alpha genesis, inc., remark: old id# dr7x
cy0256	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr8a	source: alpha genesis, inc., remark: old id# dr8a
cy0271	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dr7a	source: alpha genesis, inc., remark: old id# dr7a
cy0252	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# br89	source: alpha genesis, inc., remark: old id# br89
cy0267	2009-07-07	1970-01-01 10:45:00	alpha genesis, inc.	old id# dt14	source: alpha genesis, inc., remark: old id# dt14
cy0231	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 653	source: uw medical school, remark: old id # 653
cy0242	2009-06-02	1970-01-01 10:45:00	uw medical school	old id # c-650	source: uw medical school, remark: old id # c-650
cy0229	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 680	source: uw medical school, remark: old id # 680
cy0240	2009-06-02	1970-01-01 10:45:00	uw medical school	old id # c-652	source: uw medical school, remark: old id # c-652
cy0248	2009-06-02	1970-01-01 10:45:00	uw medical school	old id #c-686	source: uw medical school, remark: old id #c-686
cy0232	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 679	source: uw medical school, remark: old id # 679
cy0244	2009-06-02	1970-01-01 10:45:00	uw medical school	old id #c-698	source: uw medical school, remark: old id #c-698
cy0238	2009-06-02	1970-01-01 10:45:00	uw medical school	old id # 700	source: uw medical school, remark: old id # 700
cy0228	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 672	source: uw medical school, remark: old id # 672
cy0236	2009-06-02	1970-01-01 10:45:00	uw medical school	old id # 681	source: uw medical school, remark: old id # 681
cy0234	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 674	source: uw medical school, remark: old id # 674
cy0246	2009-06-02	1970-01-01 10:45:00	uw medical school	old id #c-691	source: uw medical school, remark: old id #c-691
cy0243	2009-06-02	1970-01-01 10:45:00	uw medical school	old id #c-17686	source: uw medical school, remark: old id #c-17686
cy0237	2009-06-02	1970-01-01 10:45:00	uw medical school	old id # 688	source: uw medical school, remark: old id # 688
cy0058	2009-06-02	1970-01-01 09:15:00	uw medical school	old center id = cy0058; msc id = 705	source: uw medical school, remark: old center id = cy0058; msc id = 705
cy0239	2009-06-02	1970-01-01 10:45:00	uw medical school	old id # c-684	source: uw medical school, remark: old id # c-684
cy0233	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 656	source: uw medical school, remark: old id # 656
cy0245	2009-06-02	1970-01-01 10:45:00	uw medical school	old id #c-671	source: uw medical school, remark: old id #c-671
cy0230	2009-06-02	1970-01-01 09:15:00	uw medical school	old id # 673	source: uw medical school, remark: old id # 673
