id	Date	pno	time	remark	Description
r02042	2009-7-9	00300901	1970-01-01 11:30:00	s/o: Behavioral staff re-paired animal with partner after coming back to home cage following study. Both groomed each other and shared space. CD/nt a:  p: 	s/o: Behavioral staff re-paired animal with partner after coming back to home cage following study. Both groomed each other and shared space. CD/nt a:  p: 
r03130	2009-7-9	00300901	1970-01-01 11:30:00	s/o: Behavioral staff re-paired animal with partner after coming back to home cage following study, r03136 presented and groomed r03130, and r03130 mounted r03136, both maintained good proximity. CD/nt a:  p: 	s/o: Behavioral staff re-paired animal with partner after coming back to home cage following study, r03136 presented and groomed r03130, and r03130 mounted r03136, both maintained good proximity. CD/nt a:  p: 
r03075	2009-7-8	00300901	1970-01-01 10:45:00	s/o: gradual pair test between r03075 and r03009; conclusion: inconclusive; shared food: yes; aggression: no; affiliation: yes; both animals shared perch, r03075 lipsmacked and presented. NT a:  p: 	s/o: gradual pair test between r03075 and r03009; conclusion: inconclusive; shared food: yes; aggression: no; affiliation: yes; both animals shared perch, r03075 lipsmacked and presented. NT a:  p: 
r03009	2009-7-8	00300901	1970-01-01 10:45:00	s/o: gradual pair test between r03075 and r03009; conclusion: inconclusive; shared food: yes; aggression: no; affiliation: yes; both animals shared perch, r03075 lipsmacked and presented. CD/nt a:  p: 	s/o: gradual pair test between r03075 and r03009; conclusion: inconclusive; shared food: yes; aggression: no; affiliation: yes; both animals shared perch, r03075 lipsmacked and presented. CD/nt a:  p: 
r98056	2009-7-8	00300901	1970-01-01 11:50:00	s/o: gradual pair test between r98056 and rhav88; test #2, 1 hour; conclusion: compatible; shared food: yes; aggression: no; affiliation: yes; both animals shared perch and maintained good proximity, r98056 groomed rhav88, will pair next week. NT a:  p: 	s/o: gradual pair test between r98056 and rhav88; test #2, 1 hour; conclusion: compatible; shared food: yes; aggression: no; affiliation: yes; both animals shared perch and maintained good proximity, r98056 groomed rhav88, will pair next week. NT a:  p: 
rhav88	2009-7-8	00300901	1970-01-01 11:50:00	s/o: gradual pair test between r98056 and rhav88; test #2, 1 hour; conclusion: compatible; shared food: yes; aggression: no; affiliation: yes; both animals shared perch and maintained good proximity, r98056 groomed rhav88, will pair next week. NT a:  p: 	s/o: gradual pair test between r98056 and rhav88; test #2, 1 hour; conclusion: compatible; shared food: yes; aggression: no; affiliation: yes; both animals shared perch and maintained good proximity, r98056 groomed rhav88, will pair next week. NT a:  p: 
r05073	2009-7-8	00300901	1970-01-01 10:40:00	s/o: gradual pair test between r05073 and r04167; test #2, 20 minutes; conclusion: inconclusive; shared food: yes; aggression: no; affiliation:yes; both animals shared space and perch, r04167 was chomping and exhibited piloerection. NT a:  p: 	s/o: gradual pair test between r05073 and r04167; test #2, 20 minutes; conclusion: inconclusive; shared food: yes; aggression: no; affiliation:yes; both animals shared space and perch, r04167 was chomping and exhibited piloerection. NT a:  p: 
r04167	2009-7-8	00300901	1970-01-01 10:40:00	s/o: gradual pair test between r05073 and r04167; test #2, 20 minutes; conclusion: inconclusive; shared food: yes; aggression: no; affiliation:yes; both animals shared space and perch, r04167 was chomping and exhibited piloerection. NT a:  p: 	s/o: gradual pair test between r05073 and r04167; test #2, 20 minutes; conclusion: inconclusive; shared food: yes; aggression: no; affiliation:yes; both animals shared space and perch, r04167 was chomping and exhibited piloerection. NT a:  p: 
r02135	2009-7-6	00300901	1970-01-01 15:30:00	s/o: Animal reported for SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB. Animal has been reported in the past for SIB. Healing wounds on left bicep, left wrist and chin. p: Animal will be added to monthly list. Continue to monitor. No intervention at this time. NT	s/o: Animal reported for SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB. Animal has been reported in the past for SIB. Healing wounds on left bicep, left wrist and chin. p: Animal will be added to monthly list. Continue to monitor. No intervention at this time. NT
r03118	2009-7-6	00300901	1970-01-01 11:35:00	s/o: gradual pair test between r03118 and r89056; test #2, 30 minutes; conclusion: incompatible; shared food: yes; aggression: yes; affiliation: no; r03118 lipsmacked and presented, r89056 chased r03118 and animals fought resulting in no injuries, no proximity maintained; will not pair.  CD/nt a:  p: 	s/o: gradual pair test between r03118 and r89056; test #2, 30 minutes; conclusion: incompatible; shared food: yes; aggression: yes; affiliation: no; r03118 lipsmacked and presented, r89056 chased r03118 and animals fought resulting in no injuries, no proximity maintained; will not pair.  CD/nt a:  p: 
r89056	2009-7-6	00300901	1970-01-01 11:35:00	s/o: gradual pair test between r03118 and r89056; test #2, 30 minutes; conclusion: incompatible; shared food: yes; aggression: yes; affiliation: no; r03118 lipsmacked and presented, r89056 chased r03118 and animals fought resulting in no injuries, no proximity maintained; will not pair.  CD/nt a:  p: 	s/o: gradual pair test between r03118 and r89056; test #2, 30 minutes; conclusion: incompatible; shared food: yes; aggression: yes; affiliation: no; r03118 lipsmacked and presented, r89056 chased r03118 and animals fought resulting in no injuries, no proximity maintained; will not pair.  CD/nt a:  p: 
r00061	2009-7-6	00300901	1970-01-01 10:00:00	s/o: Animal reported for hair pulling. a: Animal assessed by behavioral staff.  Behavior not observed. Hair was found in pan which confirms reports. p: No intervention at this time. Will re-evaluate if reports continue. NT	s/o: Animal reported for hair pulling. a: Animal assessed by behavioral staff.  Behavior not observed. Hair was found in pan which confirms reports. p: No intervention at this time. Will re-evaluate if reports continue. NT
cy0165	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r01022	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, healing red marks on right bicep. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, healing red marks on right bicep. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r00032	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
cy0161	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r01088	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal bit right wrist, healing wound on scrotum. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal bit right wrist, healing wound on scrotum. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r01080	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, new red marks on right shoulder. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, new red marks on right shoulder. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r01056	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r01107	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r03123	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r01060	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
rh2034	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
rh2033	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
cy0158	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, scabs on back of right leg. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, scabs on back of right leg. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r03086	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no new wounds, healing wound back of left thigh. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no new wounds, healing wound back of left thigh. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r02033	2009-7-3	00300901	1970-01-01 10:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. Behavioral staff providing additional foraging opportunity on a regular basis. NT
r03116	2009-7-27	00300901	1970-01-01 08:45:00	s/o: Animal relocated to new cage within room after fighting with neighboring animal through hole in feeder box. a:  p: Contact shop in regards to raising feeder box in order to keep animals from reaching entire arm out of cage.  MR	s/o: Animal relocated to new cage within room after fighting with neighboring animal through hole in feeder box. a:  p: Contact shop in regards to raising feeder box in order to keep animals from reaching entire arm out of cage.  MR
