id	Date	sex	weight	wdate	wtime	dam	sire	room	cage	cond	origin	conception	type	remark	Description
r09074	2009-07-27					r95081	rh2048	ab119	0019	gm	cen	2009-02-10	n		dam: r95081, sire: rh2048, room: ab119, cage: 0019, cond: gm, origin: cen, conception: 2009-02-10, type: n
r09073	2009-07-22					rh2009		ab167	0015	gm	cen	2009-02-03	n	sire either r98012 or rh1999(doubt)	dam: rh2009, room: ab167, cage: 0015, cond: gm, origin: cen, conception: 2009-02-03, type: n, remark: sire either r98012 or rh1999(doubt)
r09072	2009-07-17					r03138	r98038	ab142	0001	gm	cen	2009-02-07	n		dam: r03138, sire: r98038, room: ab142, cage: 0001, cond: gm, origin: cen, conception: 2009-02-07, type: n
r09071	2009-07-16	f				rh2132	r01071	ab140	0015	gm	cen	2009-02-13	n		sex: f, dam: rh2132, sire: r01071, room: ab140, cage: 0015, cond: gm, origin: cen, conception: 2009-02-13, type: n
r09070	2009-07-16	f				r04145	r97100	ab118	0027	gm	cen	2009-01-30	n		sex: f, dam: r04145, sire: r97100, room: ab118, cage: 0027, cond: gm, origin: cen, conception: 2009-01-30, type: n
r09069	2009-07-16	m				r03125	r98055	ab108	0024	m	cen	2009-01-24	n		sex: m, dam: r03125, sire: r98055, room: ab108, cage: 0024, cond: m, origin: cen, conception: 2009-01-24, type: n
cj1641	2009-07-15	m				cj1148	cj0667	a165	0003	gmf	cen		n	triplets (1 found dead: pd0913, necropsy # 09c122).	sex: m, dam: cj1148, sire: cj0667, room: a165, cage: 0003, cond: gmf, origin: cen, type: n, remark: triplets (1 found dead: pd0913, necropsy # 09c122).
cj1640	2009-07-15	f				cj1148	cj0667	a165	0003	gmf	cen		n	triplets (1 found dead: pd0913, necropsy # 09c122).	sex: f, dam: cj1148, sire: cj0667, room: a165, cage: 0003, cond: gmf, origin: cen, type: n, remark: triplets (1 found dead: pd0913, necropsy # 09c122).
r09068	2009-07-14	f				rh2016	r95092	ab140	0021	gm	cen	2009-01-26	n		sex: f, dam: rh2016, sire: r95092, room: ab140, cage: 0021, cond: gm, origin: cen, conception: 2009-01-26, type: n
r09066	2009-07-11	f				r97061	rh2001	ab108	0030	m	cen	2009-02-01	n		sex: f, dam: r97061, sire: rh2001, room: ab108, cage: 0030, cond: m, origin: cen, conception: 2009-02-01, type: n
r09067	2009-07-11	f				rhaw95	rh2150	ab108	0003	gm	cen	2009-01-22	n		sex: f, dam: rhaw95, sire: rh2150, room: ab108, cage: 0003, cond: gm, origin: cen, conception: 2009-01-22, type: n
r09065	2009-07-07	f	0.4690	2009-07-07		r03122	r02072	ab108	0023	gm	cen	2009-01-23	n	cagemate due also, blood only on r03122.	sex: f, weight: 0.4690, wdate: 2009-07-07, dam: r03122, sire: r02072, room: ab108, cage: 0023, cond: gm, origin: cen, conception: 2009-01-23, type: n, remark: cagemate due also, blood only on r03122.
r09063	2009-07-06	f				r96092	rh2085	ab108	0014	m	cen	2009-01-22	n		sex: f, dam: r96092, sire: rh2085, room: ab108, cage: 0014, cond: m, origin: cen, conception: 2009-01-22, type: n
r09064	2009-07-06	f	0.5630	2009-07-06		r02118	r01071	a158	0014	m	cen	2009-01-11	c	c-section infant	sex: f, weight: 0.5630, wdate: 2009-07-06, dam: r02118, sire: r01071, room: a158, cage: 0014, cond: m, origin: cen, conception: 2009-01-11, type: c, remark: c-section infant
r09062	2009-06-30	f	0.6690	2009-06-30		rhau72	r98038	a158	0013	m	cen	2009-01-06	c		sex: f, weight: 0.6690, wdate: 2009-06-30, dam: rhau72, sire: r98038, room: a158, cage: 0013, cond: m, origin: cen, conception: 2009-01-06, type: c
r09061	2009-06-28	m				r95079		ab108	0019	m	cen	2009-01-23	n	sire either rh2055 or rh2048 (doubt)	sex: m, dam: r95079, room: ab108, cage: 0019, cond: m, origin: cen, conception: 2009-01-23, type: n, remark: sire either rh2055 or rh2048 (doubt)
r09060	2009-06-28	m				r03092	r02036	ab119	0046	gm	cen	2009-06-17	n		sex: m, dam: r03092, sire: r02036, room: ab119, cage: 0046, cond: gm, origin: cen, conception: 2009-06-17, type: n
r09059	2009-06-27	f				r04092	r95046	ab108	0001	gm	cen	2009-01-13	n		sex: f, dam: r04092, sire: r95046, room: ab108, cage: 0001, cond: gm, origin: cen, conception: 2009-01-13, type: n
