id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
r09074	2009-07-27		alive	u		r95081	rh2048	cen	2009-07-27						ab119	0019	gm							
r09073	2009-07-22		alive	ab		rh2009		cen	2009-07-22						ab167	0015	gm							
r09072	2009-07-17		alive	ab		r03138	r98038	cen	2009-07-17						ab142	0001	gm							
r09071	2009-07-16	f	alive	ab		rh2132	r01071	cen	2009-07-16						ab140	0015	gm	0.3750	2009-07-23	1970-01-01 11:30:00				
r09070	2009-07-16	f	alive	ab		r04145	r97100	cen	2009-07-16						ab118	0027	gm	0.5500	2009-07-23	1970-01-01 11:30:00				
r09069	2009-07-16	m	alive	ab		r03125	r98055	cen	2009-07-16						ab108	0023	gm	0.5300	2009-07-27	1970-01-01 09:00:00				
cj1641	2009-07-15	m	alive	u		cj1148	cj0667	cen	2009-07-15						a165	0003	gmf	0.0390	2009-07-27	1970-01-01 09:55:00				
cj1640	2009-07-15	f	alive	u		cj1148	cj0667	cen	2009-07-15						a165	0003	gmf	0.0410	2009-07-27	1970-01-01 09:55:00				
r09068	2009-07-14	f	alive	ab		rh2016	r95092	cen	2009-07-14						ab140	0021	gm	0.5100	2009-07-23	1970-01-01 11:30:00				
r09067	2009-07-11	f	alive	ab		rhaw95	rh2150	cen	2009-07-11						ab108	0003	gm	0.6000	2009-07-27	1970-01-01 09:00:00				
r09066	2009-07-11	f	alive	ab		r97061	rh2001	cen	2009-07-11						ab108	0030	m	0.5200	2009-07-27	1970-01-01 09:00:00				
r09065	2009-07-07	f	alive	ab		r03122	r02072	cen	2009-07-07						ab108	0023	gm	0.6000	2009-07-27	1970-01-01 09:00:00				
r09064	2009-07-06	f	alive	ab		r02118	r01071	cen	2009-07-06						ab160	inc1	s	0.5670	2009-07-20	1970-01-01 07:15:00				
r09063	2009-07-06	f	alive	ab		r96092	rh2085	cen	2009-07-06						ab108	0014	m	0.5900	2009-07-27	1970-01-01 09:00:00				
r09062	2009-06-30	f	alive	ab		rhau72	r98038	cen	2009-06-30						ab108	0007	gm	0.6000	2009-07-09	1970-01-01 10:11:00				
r09061	2009-06-28	m	alive	ab		r95079		cen	2009-06-28						ab108	0019	m	0.5000	2009-07-09	1970-01-01 10:52:00				
r09060	2009-06-28	m	alive	ab		r03092	r02036	cen	2009-06-28						ab119	0046	gm	0.5500	2009-07-07	1970-01-01 09:30:00				
r09059	2009-06-27	f	alive	ab		r04092	r95046	cen	2009-06-27						ab108	0001	gm	0.4300	2009-07-09	1970-01-01 09:49:00				
r09057	2009-06-25	m	alive	ab		r01093	r97100	cen	2009-06-25						ab140	0001	gm	0.5600	2009-07-14	1970-01-01 08:50:00				
r09058	2009-06-25	m	alive	ab		rhas91	rh2142	cen	2009-06-25						ab108	0017	am	0.6900	2009-07-09	1970-01-01 10:27:00				
r09056	2009-06-23	m	alive	ab		r04034	r95059	cen	2009-06-23						ab119	0010	gm	0.5300	2009-07-07	1970-01-01 09:30:00				
r09055	2009-06-11	f	alive	ab		r02076	rh2048	cen	2009-06-11						ab160	tmp3	p	0.8120	2009-07-13	1970-01-01 07:25:00				
r09054	2009-06-07	f	alive	ab		r97083	rh2085	cen	2009-06-07						ab140	0019	gm	0.7100	2009-07-14	1970-01-01 08:50:00				
r09053	2009-06-06	f	alive	ab		r98035		cen	2009-06-06						ab108	0007	gm	0.7300	2009-07-27	1970-01-01 09:00:00				
r09052	2009-06-05	m	alive	ab		r00052	r95069	cen	2009-06-05						ab163	0001	gm	0.6400	2009-07-15	1970-01-01 09:30:00				
r09051	2009-06-04	m	alive	ab		r01023	r95046	cen	2009-06-04						ab140	0001	gm	0.6400	2009-07-14	1970-01-01 08:50:00				
r09050	2009-06-03	f	alive	ab		r02091	r03015	cen	2009-06-03						ab160	tmp3	p	0.7920	2009-07-13	1970-01-01 07:30:00				
r09049	2009-05-30	f	alive	ab		r01046	r01071	cen	2009-05-30						ab108	0015	gm	0.6600	2009-07-27	1970-01-01 09:00:00				
r09048	2009-05-27	f	alive	ab		rhas98	rh2138	cen	2009-05-27						ab118	0041	gm	0.5900	2009-07-02	1970-01-01 09:05:00				
r09047	2009-05-26	f	alive	ab		rh1995	r01106	cen	2009-05-26						ab108	0049	gm	0.8400	2009-07-27	1970-01-01 09:00:00				
r09046	2009-05-24	f	alive	ab		r02096	r01071	cen	2009-05-24						ab118	0043	gm	0.7300	2009-07-02	1970-01-01 09:05:00				
