id	sex	dam	sire	birth	acquire	exit	acqcode	exitcode
r-101f	m			0001-01-01	0001-01-01	1972-12-01	99	1
r-37z	f			0001-01-01	0001-01-01	1975-12-19	99	6
r-g834	m			0001-01-01	0001-01-01	1978-02-27	99	6
r-pp28	f			0001-01-01	0001-01-01	0001-01-01	99	99
rh-004	m			1954-05-03	1954-05-03	1965-02-02	3	6
rh-025	m	r-6544		1956-03-06	1956-03-06	1962-12-04	3	1
rh-049	f	rh0248	rh0r16	1957-04-17	1957-04-17	1973-11-29	3	1
rh-072	f	rh0202	rh0r16	1957-12-21	1957-12-21	1973-05-25	3	6
rh-095	m	rh0r03	rh0r06	1958-07-07	1958-07-07	1968-01-17	3	6
rh-a17	f	r-g7	rh0348	1959-05-30	1959-05-30	1972-04-04	3	6
rh-a40	f			1960-02-22	1960-02-22	1964-01-15	3	6
rh-a62	m			1960-05-07	1960-05-07	1972-06-22	3	6
rh-a90	m	rh0386	rh0494	1960-12-12	1960-12-12	1969-04-08	3	3
rh-b16	f	r-7361		1961-05-02	1961-05-02	1969-10-16	3	3
rh-b39	f			1961-07-11	1961-07-11	1967-09-28	3	1
rh-b65	m	rh0580		1962-03-11	1962-03-11	1965-09-02	3	6
rh-b87	m	rh0493	rh0r64	1962-05-30	1962-05-30	1964-09-22	3	1
rh-c09	f			1962-07-17	1962-07-17	1963-06-09	3	3
rh-c30	f	rh-059	rh0496	1962-10-09	1962-10-09	1969-08-28	3	6
rh-c56	m	rh0345	rh0r16	1963-03-01	1963-03-01	1963-05-26	3	3
rh-c79	m	rh0r15	rh0398	1963-05-11	1963-05-11	1968-03-05	3	3
rh-d02	f	rh0571	rh0398	1963-07-03	1963-07-03	1971-03-08	3	6
rh-d24	m	rh0606	rh0368	1963-10-26	1963-10-26	1967-01-26	3	6
rh-d47	f	rh-058	rh0397	1964-02-07	1964-02-07	0001-01-01	3	99
rh-d68	f	rh0248	rh0368	1964-04-26	1964-04-26	1967-01-03	3	1
rh-d93	m	rh0197	rh0r16	1964-06-27	1964-06-27	1969-12-18	3	6
rh-e15	f	rh0772	rh0339	1964-09-12	1964-09-12	1971-10-14	3	3
rh-e36	m	rh0202	rh0424	1964-10-29	1964-10-29	1966-12-09	3	6
rh-e59	f			1965-01-11	1965-01-11	1969-08-03	3	3
rh-e81	f	rh0570	rh0r16	1965-03-14	1965-03-14	1967-12-22	3	3
rh-f03	f	rh-058	rh0r02	1965-06-06	1965-06-06	1972-10-24	3	3
rh-f24	f	rh0857	rh0398	1965-07-17	1965-07-17	1967-01-29	3	6
rh-f45	f	rh-a06	rh0r16	1965-08-28	1965-08-28	1968-04-29	3	1
rh-f69	m	rh0341	rh0342	1965-10-06	1965-10-06	1965-11-05	3	1
rh-f91	m	rh-b39	rh0r02	1966-03-06	1966-03-06	1971-11-23	3	6
rh-g16	m	rh-a96	rh0398	1966-04-21	1966-04-21	1972-06-05	3	6
rh-g44	f	rh0708	rh0r16	1966-05-31	1966-05-31	1971-10-14	3	3
rh-g72	m	rh0651	rh0331	1966-07-07	1966-07-07	1966-07-20	3	1
rh-g95	f	rh0639	rh0525	1966-08-15	1966-08-15	1966-08-15	3	1
