id	Date	caseno	account	Description
cy0088	2009-05-19	09c071	lt73	caseno: 09c071, account: lt73
cy0061	2009-05-19	09c070	lt73	caseno: 09c070, account: lt73
cy0185	2009-05-14	09c068	lt73	caseno: 09c068, account: lt73
cy0183	2009-05-14	09c067	lt73	caseno: 09c067, account: lt73
cy0186	2009-04-27	09c050	lt73	caseno: 09c050, account: lt73
pd0906	2009-04-13	09c043	lt73	caseno: 09c043, account: lt73
cy0191	2009-03-11	09c036	lt73	caseno: 09c036, account: lt73
cy0190	2009-03-10	09c035	lt73	caseno: 09c035, account: lt73
cy0189	2009-03-09	09c034	lt73	caseno: 09c034, account: lt73
r83113	2009-02-20	09c024	lt73	caseno: 09c024, account: lt73
cy0188	2009-02-03	09c018	lt73	caseno: 09c018, account: lt73
cy0178	2009-02-02	09c017	lt73	caseno: 09c017, account: lt73
rhat30	2009-01-21	09c007	lt73	caseno: 09c007, account: lt73
cy0177	2009-01-14	09c004	lt73	caseno: 09c004, account: lt73
cy0175	2008-12-17	08c180	lt73	caseno: 08c180, account: lt73
cy0194	2008-12-02	08c173	lt73	caseno: 08c173, account: lt73
r04089	2008-11-25	08c171	lt73	caseno: 08c171, account: lt73
r05026	2008-11-24	08c169	lt73	caseno: 08c169, account: lt73
r05005	2008-11-04	08c158	lt73	caseno: 08c158, account: lt73
r04157	2008-11-04	08c159	lt73	caseno: 08c159, account: lt73
r04099	2008-11-03	08c156	lt73	caseno: 08c156, account: lt73
cy0176	2008-10-28	08c153	lt73	caseno: 08c153, account: lt73
rh2154	2008-09-11	08c129	lt73	caseno: 08c129, account: lt73
r90128	2008-09-02	08c123	lt73	caseno: 08c123, account: lt73
cj1046	2008-06-24	08c093	lt73	caseno: 08c093, account: lt73
cy0195	2008-05-22	08c074	lt73	caseno: 08c074, account: lt73
r01094	2008-05-08	08c063	lt73	caseno: 08c063, account: lt73
r87083	2008-05-07	08c060	lt73	caseno: 08c060, account: lt73
cy0197	2008-05-06	08c059	lt73	caseno: 08c059, account: lt73
cj1264	2008-04-17	08c052	lt73	caseno: 08c052, account: lt73
cj1055	2008-03-04	08c032	lt73	caseno: 08c032, account: lt73
r80179	2008-02-21	08c024	lt73	caseno: 08c024, account: lt73
rh2288	2008-02-20	08e001	lt73	caseno: 08e001, account: lt73
cj1567	2008-02-15	08c020	lt73	caseno: 08c020, account: lt73
r87129	2008-01-30	08c010	lt73	caseno: 08c010, account: lt73
r85003	2008-01-17	08c009	lt73	caseno: 08c009, account: lt73
r96008	2008-01-15	08c006	lt73	caseno: 08c006, account: lt73
cj0510	2008-01-10	08c004	lt73	caseno: 08c004, account: lt73
cj1550	2008-01-06	08c002	lt73	caseno: 08c002, account: lt73
cj1552	2008-01-02	08c001	lt73	caseno: 08c001, account: lt73
r91026	2007-12-20	07c178	lt73	caseno: 07c178, account: lt73
pd0716	2007-12-18	07c176	lt73	caseno: 07c176, account: lt73
pd0715	2007-12-18	07c175	lt73	caseno: 07c175, account: lt73
pd0717	2007-12-18	07c177	lt73	caseno: 07c177, account: lt73
r99007	2007-12-17	07c173	lt73	caseno: 07c173, account: lt73
r01029	2007-12-17	07c174	lt73	caseno: 07c174, account: lt73
cj1549	2007-12-11	07c169	lt73	caseno: 07c169, account: lt73
rh2022	2007-12-05	07c168	lt73	caseno: 07c168, account: lt73
rh2076	2007-12-04	07c167	lt73	caseno: 07c167, account: lt73
cj1505	2007-12-03	07c166	lt73	caseno: 07c166, account: lt73
