id	Date	room	account	remark	clinremark	Description
cy0267	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0252	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0266	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0251	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0260	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0265	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0250	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0259	2009-07-09		prj23ea	EIA: positive for E. histolytica		EIA: positive for E. histolytica
cy0264	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0249	2009-07-09		prj23ea	EIA: positive for E histolytica		EIA: positive for E histolytica
cy0258	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0263	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0272	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0257	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0262	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0271	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0256	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0261	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0270	2009-07-09		prj23ea	EIA - positive for E. hist/dispar		EIA - positive for E. hist/dispar
cy0255	2009-07-09		prj23ea	EIA: positive for E. histolytica		EIA: positive for E. histolytica
cy0269	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0254	2009-07-09		prj23ea	EIA: negative		EIA: negative
cy0268	2009-07-09		prj23ea	EIA - negative		EIA - negative
cy0253	2009-07-09		prj23ea	EIA: negative		EIA: negative
rh2357	2009-06-29		prj15eb			
rh2360	2009-06-29		prj23dz			
r02058	2009-06-25		prj23dz			
r03078	2009-06-24		prj23dz			
r03077	2009-06-24		prj23dz			
r97113	2009-06-15		prj23dz			
r95069	2009-06-11		prj23dz	occult blood - negative		occult blood - negative
cy0164	2009-06-04		qw63	EIA: negative		EIA: negative
cj1443	2009-06-03		prj23dz			
cj1477	2009-06-03		prj23dz			
r95117	2009-05-13		prj23dz	EIA negative		EIA negative
r02058	2009-05-13		prj23dz	EIA negative		EIA negative
rh2140	2009-05-11		prj23dz			
cy0214	2009-05-08		prj23dz			
r99047	2009-05-07		prj23dz			
r06005	2009-05-07		prj23dz			
r06001	2009-05-06		prj23dz			
r06010	2009-05-06		prj23dz			
rh2365	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2357	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2364	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2355	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2363	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2354	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2361	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
rh2353	2009-05-04		prj23dz	EIA negative; concentration no parasites seen		EIA negative; concentration no parasites seen
