id	Date	time	weight	verified	Description
cj0686	2009-07-27	1970-01-01 09:55:00	0.4710		weight: 0.4710
cj1379	2009-07-27	1970-01-01 09:55:00	0.4290		weight: 0.4290
cj1439	2009-07-27	1970-01-01 09:55:00	0.4000		weight: 0.4000
cj1496	2009-07-27	1970-01-01 09:55:00	0.4830		weight: 0.4830
cj1579	2009-07-27	1970-01-01 09:55:00	0.3420		weight: 0.3420
cj1580	2009-07-27	1970-01-01 09:55:00	0.3750		weight: 0.3750
cj1597	2009-07-27	1970-01-01 09:55:00	0.3010		weight: 0.3010
cj0667	2009-07-27	1970-01-01 09:55:00	0.3600		weight: 0.3600
cj1148	2009-07-27	1970-01-01 09:55:00	0.4110		weight: 0.4110
cj1589	2009-07-27	1970-01-01 09:55:00	0.2980		weight: 0.2980
cj1590	2009-07-27	1970-01-01 09:55:00	0.2860		weight: 0.2860
cj1616	2009-07-27	1970-01-01 09:55:00	0.2130		weight: 0.2130
cj1617	2009-07-27	1970-01-01 09:55:00	0.2290		weight: 0.2290
cj1640	2009-07-27	1970-01-01 09:55:00	0.0410		weight: 0.0410
cj1641	2009-07-27	1970-01-01 09:55:00	0.0390		weight: 0.0390
cj1565	2009-07-27	1970-01-01 09:55:00	0.2670		weight: 0.2670
cj1566	2009-07-27	1970-01-01 09:55:00	0.2750		weight: 0.2750
cj1313	2009-07-27	1970-01-01 09:55:00	0.3760		weight: 0.3760
cj1430	2009-07-27	1970-01-01 09:55:00	0.3510		weight: 0.3510
cj1345	2009-07-27	1970-01-01 09:55:00	0.3850		weight: 0.3850
cj1398	2009-07-27	1970-01-01 09:55:00	0.3910		weight: 0.3910
cj1479	2009-07-27	1970-01-01 09:55:00	0.3290		weight: 0.3290
cj1529	2009-07-27	1970-01-01 09:55:00	0.3920		weight: 0.3920
cj0862	2009-07-27	1970-01-01 09:55:00	0.3590		weight: 0.3590
cj1381	2009-07-27	1970-01-01 09:55:00	0.3660		weight: 0.3660
cj0487	2009-07-27	1970-01-01 09:55:00	0.3890		weight: 0.3890
cj0834	2009-07-27	1970-01-01 09:55:00	0.5020		weight: 0.5020
r02055	2009-07-27	1970-01-01 07:56:00	5.5000		weight: 5.5000
r03069	2009-07-27	1970-01-01 07:56:00	6.5000		weight: 6.5000
r02038	2009-07-27	1970-01-01 07:56:00	6.8000		weight: 6.8000
r01080	2009-07-27	1970-01-01 07:20:00	10.0500		weight: 10.0500
r98016	2009-07-27	1970-01-01 07:20:00	10.4500		weight: 10.4500
r95096	2009-07-27	1970-01-01 07:20:00	12.5000		weight: 12.5000
r95061	2009-07-27	1970-01-01 07:20:00	9.8500		weight: 9.8500
rhaj11	2009-07-27	1970-01-01 07:20:00	6.6500		weight: 6.6500
r99006	2009-07-27	1970-01-01 07:20:00	9.5500		weight: 9.5500
r01022	2009-07-27	1970-01-01 07:20:00	11.7000		weight: 11.7000
r01056	2009-07-27	1970-01-01 07:20:00	10.9500		weight: 10.9500
r01108	2009-07-27	1970-01-01 07:20:00	7.7000		weight: 7.7000
cy0204	2009-07-27	1970-01-01 07:20:00	4.0500		weight: 4.0500
cy0211	2009-07-27	1970-01-01 07:20:00	3.6500		weight: 3.6500
cy0213	2009-07-27	1970-01-01 07:20:00	3.5000		weight: 3.5000
cy0214	2009-07-27	1970-01-01 07:20:00	3.1500		weight: 3.1500
cy0212	2009-07-27	1970-01-01 07:20:00	3.8000		weight: 3.8000
r96057	2009-07-27	1970-01-01 07:20:00	7.8000		weight: 7.8000
r02089	2009-07-27	1970-01-01 07:20:00	13.5000		weight: 13.5000
cy0203	2009-07-27	1970-01-01 08:06:00	4.6500		weight: 4.6500
r02055	2009-07-27	1970-01-01 12:00:00	5.4000		weight: 5.4000
r03069	2009-07-27	1970-01-01 12:00:00	6.6000		weight: 6.6000
r02038	2009-07-27	1970-01-01 12:00:00	6.8200		weight: 6.8200
