code	meaning	ts	objectid
ag	aging - reserves to replace animals in ni	2010-04-03 14:05:12	d48a2382-3f53-11df-b014-ad030a28a9d8
sa	for sale	2010-04-03 14:05:12	d48a2468-3f53-11df-b014-ad030a28a9d8
bv	Bavister	2010-04-03 14:05:12	d48a254e-3f53-11df-b014-ad030a28a9d8
ds	Doctor Stafford	2010-04-03 14:05:12	d48a262a-3f53-11df-b014-ad030a28a9d8
iv	in vitro	2010-04-03 14:05:12	d48a2706-3f53-11df-b014-ad030a28a9d8
tp	testosterone propanate	2010-04-03 14:05:12	d48a27ec-3f53-11df-b014-ad030a28a9d8
ni	National Institute of Aging (funded)	2010-04-03 14:05:12	d48a28c8-3f53-11df-b014-ad030a28a9d8
db	diabetic	2010-04-03 14:05:12	d48a29ae-3f53-11df-b014-ad030a28a9d8
tt	dihydrotestosterone	2010-04-03 14:05:12	d48a2a8a-3f53-11df-b014-ad030a28a9d8
ab	abortion	2010-04-03 14:05:12	d48a2b66-3f53-11df-b014-ad030a28a9d8
gg	Goy group	2010-04-03 14:05:12	d48a2c4c-3f53-11df-b014-ad030a28a9d8
sb	stillborn	2010-04-03 14:05:12	d48a2d28-3f53-11df-b014-ad030a28a9d8
