code	meaning
abl	Advanced Bioscience Laboratories
avp	Aventis Pasteur, Toronto, Ontario Canada
bab	Brooks Air Force Base, TX
bmy	Bristol Meyers Labs, IN
bos	Boston
bqi	Bioqual Inc, Rockville MD
brl	Biologic Resources Lab, Univ of IL/ Chicago
bru	Brown University, Warwick, RI
btl	Industrial Biotest Laboratory
cal	California
cen	WNPRC
cpc	Caribbean Primate Center
crh	Charles River Brf, Houston Texas
crp	Covance Research Products
csc	Clinical Science Clinic, Madison, WI
csp	Central State Primates, Kaiser, MO
cuw	Catholic University, Washington, DE
dfs	Department Of Food Science, Madison, WI
fer	Feral
fri	Food Research Inst, UW-Madison
haw	Hawaii
hmc	Hershey Medical Center Hershey, PA
hms	Harvard Medical School, New England Primate Center, Southborough MA
hzt	Hazelton Labs, Madison, WI
lab	Harlow Primate Lab, UW-Madison
lbi	Litton Bionetics
lbs	Laboratory Animal Breeders & Services, Yemassee, SC
loy	Dr. Loy
lsp	Lensip Tuxedo, NY
mds	University of WI Medical School
mic	Michigan
mrb	Miami Rare Bird Farm
opc	Oregon Primate Center
pfi	Pfizer, Kalamazoo MI
pii	Primate Imports Inc.
pit	University Of Pittsburg
pli	Primelabs Inc.
pr	Puerto Rico
sfi	Shamrock Farms Inc.
snb	Shin Nippon Biomedical Labs, Everett, WA
sun	State University of New York At Syracuse
tpc	Texas Primate Center
tss	Three Springs Scientific, Yemassee, SC
tul	Tulsa Zoo
ucd	Univ. of California-Davis Primate Center
ucr	University Of California-Riverside, Riverside, CA
vs	Veterinary Science from Hazleton Labs
wac	Woodard Asiatic Corporation
wai	Waisman Center, Madison, WI
wnc	Winston-Salem, NC
wvh	VA Hospital, Wood, WI
ypc	Yerkes Primate Center, Atlanta, GA
zoo	Zoology, UW-Madison
msc msc
usf usf

