code	meaning
@d-06830	hydatid disease
t-aa020	left eye
@e-90590	catheter nos
m-36870	mucus, leakage
@p-60310	dental prophylaxis,adult
@m-36140	passive congestion
@m-30000	stone, nos
c-80330	digoxin
@m-32820	vesicular emphysema
t-24100	larynx, nos
c-6a157	ketamine hcl, vetalar
t-58200	duodenum, nos
@t-32200	right atrium nos
t-73020	left ureter
t-90100	male genitourinary system, nos
da-10010	meningitis, nos
m-31430	intussusception
t-a3200	caudate nucleus
t-b1000	pituitary gland, nos
a-2a110	electronic monitor, nos
@p-10100	incision exploratory
@e-15800	aerobacter, nos
t-56000	esophagus, nos
@e-85750	hydroxyprogesterone
de-0020	septicemia
@e-82301	imodium
c-54450	nafcillin
t-b6010	thyroid capsule
@t-0x005	blood, aerobic culture
c-52551	neomycin sulphate
@t-86921	salpingo-ovariectomy - left
l-16501	morganella morganii
m-34260	obstruction, stricture
@t-x9210	axillary nerve
d8-72340	intrauterine anoxia
@f-y2910	experimental death
d8-72510	respiratory distress syndrome in the newborn
t-04000	mammary gland, nos
@t-7x100	urine
@t-x2050	brain stem
@t-xx860	conjunctiva
@t-00010	total body
@t-07000	spleen
l-1e102	shigella flexneri
d5-41700	colitis, nos
g-a1650	site
@t-54400	mandibular left second premolar tooth
@e-85300	cortisone acetate
@m-36500	edema, nos
@e-10030	bacterium, gram positive
@e-50150	sterile water
@p-11488	biopsy, punch, 8mm
@p-17060	manual reduction, fracture repair
@f-33790	intrauterine anoxia
@e-72600	penicillin 0, g-aqueous, penicillin g, potassium penicillin g
t-c4472	splenic lymph node
d5-86444	Oriental Cholangiohepatitis
@e-80691	maxitrol (ointment), neomycin, bacitracin, 1%, polyspectrin
@t-x2493	occipital and temporal lobes, cs
m-17080	amputation stump
c-84040	metoclopramide
@p-12x40	id
@t-33010	myocardium, nos
m-86201	granulosa cell tumor, nos
d1-21000	osteoarthrosis, nos; osteoarthritis, nos
g-a5700	secondary
d5-20120	sialoadenitis, nos
c-622b0	clomipramine
m-39100	sequestrum, nos
db-80000	disorder of thyroid, nos
d7-11000	kidney disease, nos
g-c0010	due to
t-93020	left seminal vesicle
f-93046	self-mutilation
r-4093b	cervical
r-4044b	ischemic
w-10082	crl1005 adjuvant in benzalkonium chloride
w-10091	micropapillary
da-13011	ependymal cyst
g-a430	mature
w-10119	pleuropneumonia
t-1a31f	prostatic gland
w-10138	serosa
t-74020	submucosa of urinary bladder
w-10181	peptide siv (gpgirypktfgwlwk)
t-c0292	cd8+ lymphocyte (cell)
c-300f4	old tuberculin
da-70114	panophthalmitis
w-10227	id transponder implant (microchip)
w-10247	a195 buffer (preservation solution by merck for adenovirus)
f-c2202	rituximab (antibody)
w-10279	rbcg w/gag5,nef2,vif2 mini genes
c-d6817	vpl trypzyme-v aerosol spray
d3-16172	left ventricular hypertrophy
f-85350	placental separation
