servicename	dataset	alertOnComplete
CBC	Hematology 	FALSE
Chlamydia trachomatis Detection by NAA	Bacteriology	FALSE
Chol/HDL Ratio	Chemistry	FALSE
"Culture, Bacterial/Smear"	Bacteriology	FALSE
"Culture, Enteric"	Bacteriology	FALSE
"Culture, Fungus, Dermal/Smear"	Bacteriology	FALSE
"Culture, Other"	Bacteriology	FALSE
"Culture, Sterile Fluid/Tissue/Smear"	Bacteriology	FALSE
"Culture, Urine"	Bacteriology	FALSE
"Culture, Wound/Smear"	Bacteriology	FALSE
Direct Smear for Protozoa	Parasitology	FALSE
ELISA - HBV	Virology	FALSE
ELISA - Measles	Virology	FALSE
ELISA - SIV	Virology	FALSE
ELISA - SRV	Virology	FALSE
ELISA - STLV-1	Virology	FALSE
GIFN for TB detection	Bacteriology	FALSE
Glycosylated Hemoglobin	Hematology	FALSE
Isolation - HBV	Virology	FALSE
Lipid Panel	Chemistry	FALSE
Mycobacteria Smear and Culture	Bacteriology	FALSE
Occult Blood	Parasitology	FALSE
Osmolarity	Chemistry	FALSE
Ova and Parasite Antigen Panel (EIA)	Parasitology	FALSE
Ova and Parasite Concentration (Fecal Float)	Parasitology	FALSE
Ova and Parasite Wet Prep	Parasitology	FALSE
PCR - Individual Bacterium	Bacteriology	FALSE
"PCR - SRV 1,2,3,4,5"	Virology	FALSE
PCR - STLV-1	Virology	FALSE
Prothrombin Time (PT) and Activated Partial Thromboplastin Time (APTT)	Chemistry	FALSE
Vet-19 Chem Panel	Chemistry	FALSE
