id	Date	time	source	remark	Description
NULL	1989-3-13	NULL	waisman		source: waisman
ca0002	1989-3-13	NULL	waisman		source: waisman
ca0003	1989-3-13	NULL	waisman		source: waisman
ca0004	1989-3-13	NULL	waisman		source: waisman
ca0005	1989-3-13	NULL	waisman		source: waisman
ca0006	1989-3-13	NULL	waisman		source: waisman
ca0007	1989-3-13	NULL	waisman		source: waisman
ca0009	1989-3-13	NULL	waisman		source: waisman
ca0010	1989-3-13	NULL	waisman		source: waisman
ca0011	1989-3-13	NULL	waisman		source: waisman
ca0012	1989-3-13	NULL	waisman		source: waisman
ca0013	1989-3-13	NULL	waisman		source: waisman
ca0014	1989-3-13	NULL	waisman		source: waisman
ca0015	1989-3-13	NULL	waisman		source: waisman
cj0001	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0002	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0003	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0004	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0005	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0006	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0007	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0008	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0009	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0010	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0011	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0012	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0013	1990-3-5	1970-01-01 09:00:00	waisman cen.		source: waisman cen.
cj0016	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj60016	source: lemsip, remark: old id mj60016
cj0017	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj70029	source: lemsip, remark: old id mj70029
cj0018	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj60050	source: lemsip, remark: old id mj60050
cj0019	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80068	source: lemsip, remark: old id mj80068
cj0020	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80027	source: lemsip, remark: old id mj80027
cj0021	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj70037	source: lemsip, remark: old id mj70037
cj0022	1991-1-29	1970-01-01 17:00:00	lemsip	old id mx70054	source: lemsip, remark: old id mx70054
cj0023	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80070	source: lemsip, remark: old id mj80070
cj0024	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80031	source: lemsip, remark: old id mj80031
cj0025	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80072	source: lemsip, remark: old id mj80072
cj0026	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80033	source: lemsip, remark: old id mj80033
cj0027	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80049	source: lemsip, remark: old id mj80049
cj0028	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80028	source: lemsip, remark: old id mj80028
cj0029	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80005	source: lemsip, remark: old id mj80005
cj0030	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80006	source: lemsip, remark: old id mj80006
cj0031	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80052	source: lemsip, remark: old id mj80052
cj0032	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80045	source: lemsip, remark: old id mj80045
cj0033	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj70038	source: lemsip, remark: old id mj70038
cj0034	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj60055	source: lemsip, remark: old id mj60055
cj0035	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj60054	source: lemsip, remark: old id mj60054
cj0036	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj90003	source: lemsip, remark: old id mj90003
cj0037	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj70066	source: lemsip, remark: old id mj70066
cj0038	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80094	source: lemsip, remark: old id mj80094
cj0039	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80095	source: lemsip, remark: old id mj80095
cj0040	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj90001	source: lemsip, remark: old id mj90001
cj0041	1991-1-29	1970-01-01 17:00:00	lemsip	old id mj80096	source: lemsip, remark: old id mj80096
cj0042	1991-1-29	1970-01-01 17:00:00	lemsip	old id mx80104	source: lemsip, remark: old id mx80104
